"disciplina" "matricula" "competencia"
"Algebra Vetorial e Geometria Analitica" "112210785" "90"
"Algebra Vetorial e Geometria Analitica" "112210788" "30"
"Algebra Vetorial e Geometria Analitica" "112210789" "80"
"Algebra Vetorial e Geometria Analitica" "112210790" "20"
"Algebra Vetorial e Geometria Analitica" "112210791" "30"
"Algebra Vetorial e Geometria Analitica" "112210795" "30"
"Algebra Vetorial e Geometria Analitica" "112210796" "100"
"Algebra Vetorial e Geometria Analitica" "112210797" "40"
"Algebra Vetorial e Geometria Analitica" "112210869" "90"
"Algebra Vetorial e Geometria Analitica" "112210953" "10"
"Algebra Vetorial e Geometria Analitica" "112210993" "80"
"Algebra Vetorial e Geometria Analitica" "112211049" "70"
"Algebra Vetorial e Geometria Analitica" "112211076" "50"
"Algebra Vetorial e Geometria Analitica" "112211094" "80"
"AnAlise e Tecnicas de Algoritmos" "108210353" "70"
"AnAlise e Tecnicas de Algoritmos" "109110119" "30"
"AnAlise e Tecnicas de Algoritmos" "109210019" "10"
"AnAlise e Tecnicas de Algoritmos" "109210030" "20"
"AnAlise e Tecnicas de Algoritmos" "109210060" "50"
"AnAlise e Tecnicas de Algoritmos" "109210285" "10"
"AnAlise e Tecnicas de Algoritmos" "110110118" "90"
"AnAlise e Tecnicas de Algoritmos" "111110074" "90"
"AnAlise e Tecnicas de Algoritmos" "109110089" "40"
"AnAlise e Tecnicas de Algoritmos" "109210034" "10"
"AnAlise e Tecnicas de Algoritmos" "109210036" "30"
"AnAlise e Tecnicas de Algoritmos" "109210286" "40"
"AnAlise e Tecnicas de Algoritmos" "109210422" "90"
"AnAlise e Tecnicas de Algoritmos" "110110047" "0"
"AnAlise e Tecnicas de Algoritmos" "110110049" "30"
"AnAlise e Tecnicas de Algoritmos" "110110052" "10"
"AnAlise e Tecnicas de Algoritmos" "110110076" "20"
"AnAlise e Tecnicas de Algoritmos" "110110078" "40"
"AnAlise e Tecnicas de Algoritmos" "110110085" "10"
"AnAlise e Tecnicas de Algoritmos" "110110094" "20"
"AnAlise e Tecnicas de Algoritmos" "110110114" "40"
"AnAlise e Tecnicas de Algoritmos" "110110117" "60"
"AnAlise e Tecnicas de Algoritmos" "110110121" "20"
"AnAlise e Tecnicas de Algoritmos" "110110127" "50"
